FID,SCHOOLNAME,Address,CITY,CUMULATIVE_COVID_Students,CUMULATIVE_COVID_Teachers,F30Day_Students,F30Day_Employees
493,Hillcrest Middle,4355 Peach Orchard Road,Dalzell,0,0,0,0
494,Hilton Head Early Chood,165 Pembroke Drive,Hilton Head Island,0,0,0,0
495,Hilton Head Island Elementary,30 School Road,Hilton Head Island,0,< 5,0,< 5
496,Hilton Head Sch for Crtv Arts,10 Bus Drive,Hilton Head Island,0,0,0,0
497,Hilton Head Island High,70 Wilborn Road,Hilton Head Island,< 5,< 5,< 5,< 5
498,Hilton Head Island Middle,55 Wilborn Road,Hilton Head Island,0,0,0,0
499,High Hills Elementary,4971 Frierson Road,Shaw Air Force Base,0,0,0,0
500,Hodges Elementary,4717 Main Street,Hodges,0,0,0,0
501,Hollis Academy,200 Goodrich Street,Greenville,0,0,0,0
502,Holly Hill Elementary,1490 Brant Avenue,Holly Hill,0,0,0,0
503,Holly Hill-Roberts Middle,530 Hesseman Street,Holly Hill,0,0,0,0
504,Holly Springs-Motlow Elem,325 Motlow School Road,Campobello,0,0,0,0
505,Hollywood Elementary,1261 Hollywood Road,Saluda,0,0,0,0
506,Homeland Park Primary,3519 Wilmont Street,Anderson,0,0,0,0
507,Homewood Elementary,108 North Clemson Circle,Conway,0,0,0,0
508,Honea Path Elementary,806 East Greer Street,Honea Path,< 5,0,< 5,0
509,Honea Path Middle,107 Brock Avenue,Honea Path,0,0,0,0
510,Hopkins Elementary,6120 Cabin Creek Road,Hopkins,0,< 5,0,< 5
511,Hopkins Middle,1601 Clarkson Road,Hopkins,0,0,0,0
512,Horrell Hill Elementary,517 Horrell Hill Road,Hopkins,0,0,0,0
513,Horse Creek Academy,1200 Toolebeck Road,Aiken,< 5,< 5,0,0
514,Hanahan Middle,5815 Murray Drive,Hanahan,0,< 5,0,< 5
515,Hughes Academy of Sci & Tech,122 DeOyley Avenue,Greenville,0,0,0,0
516,Hunt Meadows Elementary,420 Hunt Road,Easley,0,0,0,0
517,Hunter Street Elementary,1100 Hunter Street,York,0,0,0,0
518,Lyman Elementary,1221 Holly Springs Road,Lyman,0,0,0,0
519,Johnakin Middle,601 Gurley Street,Marion,0,0,0,0
520,Hunter-Kinard-Tyler High,7066 Norway Road,Neeses,0,0,0,0
521,M. B. Kennedy Middle,274 East Pine Log Road,Aiken,0,0,0,0
522,Johnson Middle,304 Kemper Street,Timmonsville,0,0,0,0
523,Hyatt Park Elementary,4200 Main Street,Columbia,0,0,0,0
524,Lowcountry Leadership,5139-A Gibson Rd,Hollywood,0,0,0,0
525,Johnsonville Elementary,160 East Marion Street,Johnsonville,0,0,0,0
526,Hunley Park Elementary,1000 Michigan Avenue,North Charleston,0,0,0,0
527,M. S. Bailey Child Devel Ctr,605 Elizabeth Street,Clinton,< 5,0,< 5,0
528,Johnsonville High,237 South Georgetown Highway,Johnsonville,< 5,0,< 5,0
529,Independence Elem,132 West Springdale Road,Rock Hill,0,0,0,0
530,Howe Hall AIMS Elementary,115 Howe Hall Road,Goose Creek,0,0,0,0
531,Johnsonville Middle,415 Maple Avenue,Johnsonville,0,0,0,0
532,India Hook Elementary,2068 Yukon Drive,Rock Hill,< 5,0,< 5,0
533,Main Street Elementary,318 East Main Street,Lake City,0,0,0,0
534,Johnston Elementary,514 Lee Street,Johnston,0,0,0,0
535,Indian Land Elementary,4137 Doby's Bridge Road,Indian Land,< 5,0,< 5,0
536,Macedonia Elementary,556 Jones Bridge Road,Blackville,0,0,0,0
537,Johnston-Edgefield-Trenton Mid,1095 Columbia Road,Johnston,0,0,0,0
538,Jonesville Elementary,350 New Hope Church Road,Jonesville,0,0,0,0
